LON	        LAT	        NOM
0.167500004	16.798610687	CSCOM
3.155277729	15.949444771	CSCOM
0.070555553	16.150833130	CSCOM
-0.083888888	16.305000305	CSCOM
0.010000000	17.791666031	CSCOM
-1.438611150	17.886667252	CSCOM
0.758611083	15.348610878	CSCOM
-1.427777767	17.846111298	CSCOM
-0.263333321	16.712499619	CSCOM
0.116666667	17.476667404	CSCOM
1.414721966	18.446390152	CSCOM
2.961389065	19.963609695	CSCOM
0.602222204	18.044170380	CSCOM
-3.984166622	15.933055878	D.
-3.235277891	16.090278625	D.
-3.190277815	16.680276871	Dag Abazanga 1
-2.977222204	16.739444733	Dag Abazanga 2
-3.325000048	16.628610611	Dag Hamzane
-2.842777729	15.860833168	Daka Kondio
-2.854444504	15.896111488	Daka Pate
0.167777777	16.507499695	Dans la plaine
0.629166663	15.517222404	Dans la plaine
2.269444466	16.065000534	Dans la plaine
0.205277771	17.732500076	dans la plaine
-0.372777790	17.468889236	Dans la plaine
0.076388888	17.141666412	Dans la plaine
0.566666663	15.529999733	Dans la plaine
0.393888891	16.760000229	Dans la plaine
1.823333383	17.333055496	Dans la plaine
-1.273055553	17.886667252	Dans la plaine
0.762222230	17.080833435	Dans le campement
0.727500021	17.083610535	Dans le campement
0.506944418	15.638889313	dans le quartier
0.009722223	17.794445038	Dans le village
0.747500002	15.392777443	Dans le village
0.703333318	15.966388702	Dans le village
0.677500010	15.129722595	Dans le village
0.739722252	15.426944733	Dans le village
0.707499981	15.475000381	Dans le village
-0.085000001	16.306388855	Dans l'enceinte de l'école
-0.100000001	16.285833359	Dans l'enceinte de l'école
-0.004722222	16.172777176	Dans l'enceinte de l'école
3.691111088	16.062778473	Dans l'oued
0.332500011	19.350280762	Dans l'oued
1.842221975	18.291940689	Dans l'oued
2.728888988	18.230560303	Dans l'oued
2.583889008	18.352220535	Dans l'oued
2.728888988	18.230829239	dans l'oued
2.200278044	18.190830231	Dans l'oued
2.626389027	17.925559998	Dans l'oued
2.625555992	17.932500839	Dans l'oued
2.599167109	17.575559616	Dans l'oued
0.150000006	17.357778549	Dans un jardin des femmes
0.128611118	16.702499390	Dans une plaine
-0.202500001	18.161666870	Dans une plaine
-5.268888950	15.642777443	Dar Salam
-2.984444380	16.707500458	Dendi
-5.122499943	15.599444389	DIABATA
-1.915555596	16.884166718	Diagourou
-0.343888879	16.953332901	Diambourou
-3.610555649	16.561944962	DIBLA Pastorale
-1.923611164	16.875278473	Dioulabougou
-3.398333311	16.251388550	DIRE
-3.399444342	16.265277863	DIRE
0.714444458	15.169444084	DIRGA
-2.526944399	16.841110229	DISP
